ny_min,sum,count,rate
362,2,3865,0.000517464424320828
363,0,3862,0.0
364,0,3856,0.0
365,0,3867,0.0
366,0,3862,0.0
367,0,3859,0.0
368,0,3861,0.0
369,0,3857,0.0
370,0,3865,0.0
371,0,3858,0.0
372,0,3861,0.0
373,0,3859,0.0
374,0,3859,0.0
375,0,3857,0.0
376,0,3859,0.0
377,0,3859,0.0
378,0,3861,0.0
379,0,3861,0.0
380,0,3864,0.0
381,0,3861,0.0
382,0,3861,0.0
383,0,3859,0.0
384,0,3857,0.0
385,0,3863,0.0
386,0,3861,0.0
387,0,3860,0.0
388,0,3860,0.0
389,0,3864,0.0
390,0,3858,0.0
391,0,3858,0.0
392,2,3859,0.0005182689816014512
393,0,3857,0.0
394,0,3854,0.0
395,0,3860,0.0
396,0,3859,0.0
397,0,3859,0.0
398,0,3858,0.0
399,0,3859,0.0
400,1,3857,0.00025926886180969663
401,0,3861,0.0
402,0,3858,0.0
403,0,3855,0.0
404,1,3857,0.00025926886180969663
405,2,3859,0.0005182689816014512
406,0,3861,0.0
407,0,3860,0.0
408,0,3860,0.0
409,0,3861,0.0
410,0,3861,0.0
411,0,3859,0.0
412,0,3859,0.0
413,0,3859,0.0
414,2,3856,0.0005186721991701245
415,1,3860,0.00025906735751295336
416,1,3859,0.0002591344908007256
417,1,3862,0.0002589331952356292
418,0,3863,0.0
419,0,3863,0.0
420,2,3867,0.000517196793379881
421,0,3865,0.0
422,0,3866,0.0
423,0,3867,0.0
424,0,3863,0.0
425,0,3862,0.0
426,0,3860,0.0
427,0,3858,0.0
428,1,3860,0.00025906735751295336
429,1,3861,0.000259000259000259
430,1,3864,0.0002587991718426501
431,1,3864,0.0002587991718426501
432,0,3864,0.0
433,0,3859,0.0
434,0,3861,0.0
435,0,3866,0.0
436,0,3866,0.0
437,0,3865,0.0
438,0,3865,0.0
439,0,3862,0.0
440,0,3863,0.0
441,0,3863,0.0
442,0,3864,0.0
443,0,3862,0.0
444,1,3864,0.0002587991718426501
445,0,3862,0.0
446,2,3861,0.000518000518000518
447,0,3864,0.0
448,0,3861,0.0
449,2,3862,0.0005178663904712584
450,1,3865,0.000258732212160414
451,0,3865,0.0
452,0,3866,0.0
453,0,3861,0.0
454,0,3865,0.0
455,0,3864,0.0
456,1,3861,0.000259000259000259
457,1,3864,0.0002587991718426501
458,0,3862,0.0
459,1,3862,0.0002589331952356292
460,0,3861,0.0
461,0,3867,0.0
462,0,3866,0.0
463,2,3864,0.0005175983436853002
464,0,3864,0.0
465,2,3862,0.0005178663904712584
466,0,3860,0.0
467,0,3866,0.0
468,0,3862,0.0
469,0,3867,0.0
470,1,3865,0.000258732212160414
471,0,3865,0.0
472,0,3866,0.0
473,0,3861,0.0
474,0,3862,0.0
475,0,3863,0.0
476,0,3861,0.0
477,0,3866,0.0
478,0,3865,0.0
479,0,3867,0.0
480,5,3867,0.0012929919834497026
481,2,3866,0.0005173305742369374
482,1,3864,0.0002587991718426501
483,2,3864,0.0005175983436853002
484,2,3865,0.000517464424320828
485,0,3866,0.0
486,0,3866,0.0
487,2,3865,0.000517464424320828
488,0,3864,0.0
489,2,3867,0.000517196793379881
490,0,3863,0.0
491,2,3864,0.0005175983436853002
492,0,3866,0.0
493,0,3866,0.0
494,1,3866,0.0002586652871184687
495,3,3867,0.0007757951900698216
496,1,3864,0.0002587991718426501
497,2,3865,0.000517464424320828
498,1,3866,0.0002586652871184687
499,0,3864,0.0
500,2,3867,0.000517196793379881
501,0,3866,0.0
502,0,3866,0.0
503,0,3867,0.0
504,0,3866,0.0
505,0,3866,0.0
506,0,3866,0.0
507,2,3865,0.000517464424320828
508,1,3868,0.0002585315408479835
509,6,3865,0.0015523932729624838
510,107,3868,0.02766287487073423
511,9,3866,0.0023279875840662182
512,14,3865,0.0036222509702457956
513,5,3865,0.00129366106080207
514,2,3865,0.000517464424320828
515,3,3865,0.0007761966364812419
516,0,3864,0.0
517,3,3865,0.0007761966364812419
518,1,3867,0.0002585983966899405
519,0,3868,0.0
520,1,3866,0.0002586652871184687
521,0,3865,0.0
522,0,3866,0.0
523,0,3866,0.0
524,0,3865,0.0
525,3,3867,0.0007757951900698216
526,0,3866,0.0
527,0,3866,0.0
528,0,3867,0.0
529,2,3864,0.0005175983436853002
530,2,3865,0.000517464424320828
531,0,3865,0.0
532,0,3864,0.0
533,0,3868,0.0
534,0,3866,0.0
535,0,3866,0.0
536,1,3867,0.0002585983966899405
537,0,3864,0.0
538,0,3867,0.0
539,0,3867,0.0
540,2,3867,0.000517196793379881
541,2,3865,0.000517464424320828
542,0,3865,0.0
543,0,3866,0.0
544,0,3864,0.0
545,0,3865,0.0
546,0,3867,0.0
547,0,3867,0.0
548,0,3865,0.0
549,0,3865,0.0
550,0,3867,0.0
551,0,3866,0.0
552,0,3865,0.0
553,0,3865,0.0
554,0,3866,0.0
555,0,3863,0.0
556,0,3862,0.0
557,0,3862,0.0
558,0,3860,0.0
559,0,3862,0.0
560,0,3863,0.0
561,0,3861,0.0
562,0,3862,0.0
563,0,3860,0.0
564,1,3860,0.00025906735751295336
565,0,3858,0.0
566,0,3858,0.0
567,0,3858,0.0
568,5,3858,0.0012960082944530845
569,0,3858,0.0
570,30,3863,0.007765984985762361
571,21,3863,0.005436189490033653
572,9,3863,0.0023297954957287085
573,12,3862,0.0031071983428275505
574,8,3863,0.0020709293295366298
575,6,3863,0.001553196997152472
576,10,3861,0.00259000259000259
577,6,3859,0.0015548069448043534
578,5,3859,0.001295672454003628
579,5,3859,0.001295672454003628
580,9,3859,0.00233221041720653
581,2,3859,0.0005182689816014512
582,7,3859,0.001813941435605079
583,3,3859,0.0007774034724021767
584,4,3859,0.0010365379632029023
585,12,3859,0.003109613889608707
586,5,3859,0.001295672454003628
587,4,3859,0.0010365379632029023
588,4,3859,0.0010365379632029023
589,4,3861,0.001036001036001036
590,4,3863,0.0010354646647683149
