ny_min,sum,count,rate
459,1,3894,0.00025680534155110427
460,0,3893,0.0
461,0,3899,0.0
462,0,3898,0.0
463,2,3896,0.000513347022587269
464,0,3896,0.0
465,2,3894,0.0005136106831022085
466,0,3892,0.0
467,0,3898,0.0
468,0,3894,0.0
469,0,3899,0.0
470,1,3897,0.00025660764690787786
471,0,3897,0.0
472,0,3898,0.0
473,0,3893,0.0
474,0,3894,0.0
475,0,3895,0.0
476,0,3893,0.0
477,0,3898,0.0
478,0,3897,0.0
479,0,3899,0.0
480,5,3899,0.0012823800974608873
481,2,3898,0.000513083632632119
482,1,3896,0.0002566735112936345
483,2,3896,0.000513347022587269
484,2,3897,0.0005132152938157557
485,0,3898,0.0
486,0,3898,0.0
487,2,3897,0.0005132152938157557
488,0,3896,0.0
489,2,3899,0.0005129520389843549
490,0,3895,0.0
491,2,3896,0.000513347022587269
492,0,3898,0.0
493,0,3898,0.0
494,1,3898,0.0002565418163160595
495,3,3899,0.0007694280584765325
496,1,3896,0.0002566735112936345
497,2,3897,0.0005132152938157557
498,1,3898,0.0002565418163160595
499,0,3896,0.0
500,2,3899,0.0005129520389843549
501,0,3898,0.0
502,0,3898,0.0
503,0,3899,0.0
504,0,3898,0.0
505,0,3898,0.0
506,0,3898,0.0
507,2,3897,0.0005132152938157557
508,1,3900,0.0002564102564102564
509,6,3897,0.001539645881447267
510,107,3900,0.027435897435897437
511,9,3898,0.002308876346844536
512,14,3897,0.00359250705671029
513,5,3897,0.0012830382345393892
514,2,3897,0.0005132152938157557
515,3,3897,0.0007698229407236335
516,0,3896,0.0
517,3,3897,0.0007698229407236335
518,1,3899,0.00025647601949217746
519,0,3900,0.0
520,1,3898,0.0002565418163160595
521,0,3897,0.0
522,0,3898,0.0
523,0,3898,0.0
524,0,3897,0.0
525,3,3899,0.0007694280584765325
526,0,3898,0.0
527,0,3898,0.0
528,0,3899,0.0
529,2,3896,0.000513347022587269
530,2,3897,0.0005132152938157557
531,0,3897,0.0
532,0,3896,0.0
533,0,3900,0.0
534,0,3898,0.0
535,0,3898,0.0
536,1,3899,0.00025647601949217746
537,0,3896,0.0
538,0,3899,0.0
539,0,3899,0.0
540,2,3899,0.0005129520389843549
541,2,3897,0.0005132152938157557
542,0,3897,0.0
543,0,3898,0.0
544,0,3896,0.0
545,0,3897,0.0
546,0,3899,0.0
547,0,3899,0.0
548,0,3897,0.0
549,0,3897,0.0
550,0,3899,0.0
551,0,3898,0.0
552,0,3897,0.0
553,0,3897,0.0
554,0,3898,0.0
555,0,3895,0.0
556,0,3894,0.0
557,0,3894,0.0
558,0,3892,0.0
559,0,3894,0.0
560,0,3895,0.0
561,0,3893,0.0
562,0,3894,0.0
563,0,3892,0.0
564,1,3892,0.00025693730729701953
565,0,3890,0.0
566,0,3890,0.0
567,0,3890,0.0
568,5,3890,0.0012853470437017994
569,0,3890,0.0
570,31,3895,0.007958921694480103
571,23,3895,0.005905006418485238
572,9,3895,0.0023106546854942235
573,12,3894,0.0030816640986132513
574,8,3895,0.0020539152759948653
575,6,3895,0.0015404364569961489
576,10,3893,0.0025687130747495505
577,6,3891,0.0015420200462606013
578,5,3891,0.0012850167052171678
579,5,3891,0.0012850167052171678
580,9,3891,0.002313030069390902
581,3,3891,0.0007710100231303007
582,7,3891,0.001799023387304035
583,3,3891,0.0007710100231303007
584,6,3891,0.0015420200462606013
585,12,3891,0.0030840400925212026
586,5,3891,0.0012850167052171678
587,4,3891,0.0010280133641737343
588,4,3891,0.0010280133641737343
589,4,3893,0.0010274852298998202
590,4,3895,0.0010269576379974327
591,5,3895,0.0012836970474967907
592,3,3895,0.0007702182284980744
593,3,3895,0.0007702182284980744
594,2,3895,0.0005134788189987163
595,10,3895,0.0025673940949935813
596,4,3895,0.0010269576379974327
597,4,3895,0.0010269576379974327
598,4,3895,0.0010269576379974327
599,3,3895,0.0007702182284980744
600,28,3895,0.007188703465982028
601,4,3895,0.0010269576379974327
602,6,3895,0.0015404364569961489
603,7,3895,0.001797175866495507
604,4,3895,0.0010269576379974327
605,8,3895,0.0020539152759948653
606,3,3895,0.0007702182284980744
607,2,3895,0.0005134788189987163
608,0,3895,0.0
609,8,3895,0.0020539152759948653
610,3,3895,0.0007702182284980744
611,2,3895,0.0005134788189987163
612,8,3895,0.0020539152759948653
613,6,3895,0.0015404364569961489
614,2,3895,0.0005134788189987163
615,2,3895,0.0005134788189987163
616,7,3894,0.0017976373908577298
617,0,3895,0.0
618,1,3895,0.00025673940949935817
619,2,3895,0.0005134788189987163
620,1,3895,0.00025673940949935817
621,2,3895,0.0005134788189987163
622,2,3895,0.0005134788189987163
623,0,3895,0.0
624,0,3895,0.0
