root,geom,btag,horizon,M,lam_E2,lam_E4,lam_intercept,var_log_rv,n,mean_eff_M,trigamma,lam_theory,is_five_min_equiv
ES,GLOBEX,B1,1day,6,0.6314070781132951,0.9987998906745957,0.5039207216319923,2.0517307173727755,1953,5.972350230414746,0.39493406684822646,0.7235988306750146,False
ES,GLOBEX,B1,1day,10,0.6993124018806092,0.894112275420412,0.6050160767044198,1.708896116157472,1953,9.96979006656426,0.22132295573711533,0.8236797232927184,False
ES,GLOBEX,B1,1day,12,0.7248248735775292,0.9040999403298597,0.6088120305632273,1.698241118422904,1953,11.943164362519202,0.18132295573711532,0.8507915613798432,False
ES,GLOBEX,B1,1day,23,0.7858723576248321,0.9324284248173593,0.6821180916662294,1.5157340588452268,1953,22.8868407578085,0.09084666127454626,0.9192299145257353,False
ES,GLOBEX,B1,1day,46,0.823685895055302,0.9600078398764375,0.7269595214786883,1.4222382308026826,1953,45.77009728622632,0.044437133536578646,0.95879142470763,False
ES,GLOBEX,B1,1day,138,0.8581590744915197,0.985179783237264,0.7886623921512714,1.310966053386634,1953,136.63184843830004,0.014598280898442317,0.9860770902779884,False
ES,GLOBEX,B1,1day,276,0.8611896398864498,0.9919538681565023,0.8272250642225776,1.2498528736731134,1953,272.57654889912953,0.007272695217222512,0.9930149647327526,True
ES,GLOBEX,B1,1day,345,0.8617969663801521,0.9933324992034606,0.8478443339452354,1.21945690063407,1953,341.10240655401947,0.005813937111601127,0.9944081895123145,False
ES,GLOBEX,B1,1day,1379,0.8460494955211045,0.9980149611159255,0.9932567898516397,1.0409288255129339,1953,1354.31592421915,0.001451378555092054,0.9985981908223889,False
NQ,GLOBEX,B0,1day,5,0.5537035304850475,0.8691508773096412,0.5698059305996491,1.90474661328958,1948,4.998459958932238,0.4903577561002349,0.6887988035910758,False
NQ,GLOBEX,B0,1day,6,0.6082926625916265,0.870465405567968,0.5682838879775287,1.9098481225723505,1948,5.974845995893224,0.39493406684822646,0.7332013272715842,False
NQ,GLOBEX,B0,1day,10,0.666676654008058,0.8823969332472618,0.7016054093611467,1.5469320818524785,1948,9.972279260780287,0.22132295573711533,0.8306191765635992,False
NQ,GLOBEX,B0,1day,12,0.687507460350182,0.8952388545190059,0.6882995367440826,1.5768366221428085,1948,11.948151950718685,0.18132295573711532,0.8568494172303402,False
NQ,GLOBEX,B0,1day,23,0.7752265016460343,0.9219780379394209,0.7926236509500902,1.3692953966753894,1948,22.89681724845996,0.09084666127454626,0.9227614292304914,False
NQ,GLOBEX,B0,1day,46,0.8194865024556323,0.9551300319384554,0.8448570902843306,1.284638466106424,1948,45.78901437371663,0.044437133536578646,0.9606672034410025,False
NQ,GLOBEX,B0,1day,138,0.8621231782431644,0.9828373851423169,0.9117399930531523,1.1904006896829484,1948,136.66273100616016,0.014598280898442317,0.9867280416115685,False
NQ,GLOBEX,B0,1day,276,0.8684974727691429,0.9909194917213084,0.9399469453085768,1.1546778485307938,1948,272.36036960985626,0.007272695217222512,0.9933437324775314,True
NQ,GLOBEX,B0,1day,345,0.8737675828213032,0.9925064265650968,0.9574193000279537,1.133605638104758,1948,340.5805954825462,0.005813937111601127,0.9946717335917393,False
NQ,GLOBEX,B0,1day,1379,0.876663905181723,0.9979670117204541,1.0097942758620828,1.0748089412721467,1948,1343.0764887063656,0.001451378555092054,0.9986645238110164,False
NQ,GLOBEX,B1,1day,5,0.5537035304850475,0.8691508773096412,0.5698059305996491,1.90474661328958,1948,4.998459958932238,0.4903577561002349,0.6887988035910758,False
NQ,GLOBEX,B1,1day,6,0.6082926625916265,0.870465405567968,0.5682838879775287,1.9098481225723505,1948,5.974845995893224,0.39493406684822646,0.7332013272715842,False
NQ,GLOBEX,B1,1day,10,0.666676654008058,0.8823969332472618,0.7016054093611467,1.5469320818524785,1948,9.972279260780287,0.22132295573711533,0.8306191765635992,False
NQ,GLOBEX,B1,1day,12,0.687507460350182,0.8952388545190059,0.6882995367440826,1.5768366221428085,1948,11.948151950718685,0.18132295573711532,0.8568494172303402,False
NQ,GLOBEX,B1,1day,23,0.7752265016460343,0.9219780379394209,0.7926236509500902,1.3692953966753894,1948,22.89681724845996,0.09084666127454626,0.9227614292304914,False
NQ,GLOBEX,B1,1day,46,0.8194865024556323,0.9551300319384554,0.8448570902843306,1.284638466106424,1948,45.78901437371663,0.044437133536578646,0.9606672034410025,False
NQ,GLOBEX,B1,1day,138,0.8621231782431644,0.9828373851423169,0.9117399930531523,1.1904006896829484,1948,136.66273100616016,0.014598280898442317,0.9867280416115685,False
NQ,GLOBEX,B1,1day,276,0.8684974727691429,0.9909194917213084,0.9399469453085768,1.1546778485307938,1948,272.36036960985626,0.007272695217222512,0.9933437324775314,True
NQ,GLOBEX,B1,1day,345,0.8737675828213032,0.9925064265650968,0.9574193000279537,1.133605638104758,1948,340.5805954825462,0.005813937111601127,0.9946717335917393,False
NQ,GLOBEX,B1,1day,1379,0.876663905181723,0.9979670117204541,1.0097942758620828,1.0748089412721467,1948,1343.0764887063656,0.001451378555092054,0.9986645238110164,False
