root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
NQ,GLOBEX,B0,1day,S-A,1448,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3536224341,"{""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.285, ""M3_HARJ"": 0.285, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1day,S-B_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,778805554,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0182, ""M3_HARJ"": 0.0182, ""M6_PARK"": 0.0182, ""M6_GK"": 0.0182, ""M1_EWMA"": 0.0182, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1day,S-C_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,346491313,"{""M4_HARQ"": 0.0003, ""M5_RGARCH"": 0.0003, ""M3_HARJ"": 0.0049, ""M1_EWMA"": 0.0049, ""M6_PARK"": 0.0214, ""M6_GK"": 0.0214, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1day,S-B_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1702618649,"{""M5_RGARCH"": 0.0001, ""M4_HARQ"": 0.071, ""M3_HARJ"": 0.071, ""M1_EWMA"": 0.071, ""M6_PARK"": 0.1, ""M6_GK"": 0.1, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1day,S-C_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M6_PARK,3586788295,"{""M3_HARJ"": 0.007, ""M4_HARQ"": 0.007, ""M1_EWMA"": 0.007, ""M5_RGARCH"": 0.007, ""M6_GK"": 0.0792, ""M6_PARK"": 0.1237, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1h,S-A,22134,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B0,1h,S-B_q0.80,4427,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,872817494,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0053, ""M3_HARJ"": 0.006, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1h,S-C_q0.80,4427,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B0,1h,S-B_q0.90,2214,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,3775719496,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.004, ""M3_HARJ"": 0.004, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1h,S-C_q0.90,2214,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
