cell,t,converged,om,beta,gamma,xi,phi,tau1,tau2,log_sigma_u,persistence
ES/GLOBEX/B1/30min,37945,True,14.184330941654942,0.998999999999993,-0.002073901267819809,-14.002310072600253,-0.5797982124970285,4.08071471262644,0.4499999999958099,7.645353500974565,1.0002024442479702
ES/GLOBEX/B1/30min,40780,True,14.184330941654942,0.998999999999993,-0.002073901267819809,-14.002310072600253,-0.5797982124970285,4.08071471262644,0.4499999999958099,7.645353500974565,1.0002024442479702
ES/GLOBEX/B1/30min,43615,True,14.184330941654942,0.998999999999993,-0.002073916595974206,-14.002310072600253,-0.5797982124970285,4.08071471262644,0.4499999999958099,7.645353500974565,1.0002024531352067
ES/GLOBEX/B1/30min,46450,True,14.184330941654942,0.998999999999993,-0.002073916595974206,-14.097640231166164,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.000232514463587
ES/GLOBEX/B1/30min,49285,True,14.184330941654942,0.998999999999993,-0.002073916595974206,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.000232514463587
ES/GLOBEX/B1/30min,52120,True,14.184330941654942,0.998999999999993,-0.002073916595974206,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.000232514463587
ES/GLOBEX/B1/30min,54955,True,14.184330941654942,0.998999999999993,-0.0020739179062938635,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.000232515242301
ES/GLOBEX/B1/30min,57790,True,14.184330941654942,0.998999999999993,-0.0020739179062938635,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.000232515242301
ES/GLOBEX/B1/30min,60625,True,14.184330941654942,0.998999999999993,-0.0020739179062938635,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.000232515242301
ES/GLOBEX/B1/30min,63460,True,14.184330941654942,0.998999999999993,-0.0020739179062938635,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.000232515242301
ES/GLOBEX/B1/30min,66295,True,14.184330941654942,0.998999999999993,-0.0020739179062938635,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.000232515242301
ES/GLOBEX/B1/30min,69130,True,14.184330941654942,0.998999999999993,-0.002073917906487012,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.0002325152424159
ES/GLOBEX/B1/30min,71965,True,14.184330941654942,0.998999999999993,-0.002073917906487012,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.0002325152424159
ES/GLOBEX/B1/30min,74800,True,14.184330941654942,0.998999999999993,-0.002073940057933822,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.0002325284068694
ES/GLOBEX/B1/30min,77635,True,14.184330941654942,0.998999999999993,-0.0020739456021320723,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.0002325317017486
ES/GLOBEX/B1/30min,80470,True,14.184330941654942,0.998999999999993,-0.0020739456021320723,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.0002325317017486
ES/GLOBEX/B1/30min,83305,True,14.184330941654942,0.998999999999993,-0.0020739456021320723,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.0002325317017486
ES/GLOBEX/B1/30min,86140,True,14.184330941654942,0.998999999999993,-0.0020739456021320723,-14.115532248167922,-0.5942931678094542,4.08071471262644,0.4499999999958099,7.784436444199242,1.0002325317017486
NQ/GLOBEX/B0/1h,584,True,-0.46832643871984236,5.124667473234956e-10,-1.133229042354676,0.03499586326107148,-1.1249174361659615,-0.3582815998264076,0.4455695353751216,3.7095959795028377,1.2747891094268966
NQ/GLOBEX/B0/1h,1970,True,-0.11269762760127608,7.805897187826077e-10,-0.9571911804156373,0.02955071003622534,-2.788404356926886,-0.0006162484439901272,0.4321886400771101,7.2443847333956874,2.669036058663542
NQ/GLOBEX/B0/1h,3356,True,-0.12344768691524444,7.6327182034635e-10,-0.9642882551089289,0.03344203438714888,-2.710421642603992,-0.0005895985397739044,0.44999755563594473,6.71259081722801,2.613627757119352
NQ/GLOBEX/B0/1h,4742,True,-0.129707596160486,7.632418878200776e-10,-0.9612659094676432,0.03480117776870796,-2.6861867765316525,-0.0005903579270345751,0.4499993392192789,6.3677418180273335,2.582139775505898
NQ/GLOBEX/B0/1h,6128,True,-0.12973774507422747,7.50370131032697e-10,-0.9447765603409741,0.03344302957855978,-2.832730369727042,-0.0005815324984288318,0.4499998292873144,6.801740431733883,2.6762972558345006
NQ/GLOBEX/B0/1h,7514,True,-0.13442867241476703,7.564173878067221e-10,-0.9430545808804067,0.03463354739360282,-2.8208249792376026,-0.0005917838298149569,0.44336399590185716,6.598201179871373,2.6601919192883168
NQ/GLOBEX/B0/1h,8900,True,-0.1371481374800029,7.926070297005639e-10,-0.9406131513549625,0.032078572166984294,-2.839552270206169,-0.0005922263503318848,0.4499996067420384,6.651541565788536,2.670920210108369
NQ/GLOBEX/B0/1h,10286,True,-0.13891609899387863,8.055102909140088e-10,-0.9333673206824367,0.03083766243878823,-2.9041359071953714,-0.0005976610195435255,0.4499981925530171,6.842145132437031,2.710625551402112
NQ/GLOBEX/B0/1h,11672,True,-0.14345998530742793,7.955620803475964e-10,-0.9308941945832713,0.03014789801512017,-2.9312489106882973,-0.0006121135134096544,0.4499995607599735,6.966693334780225,2.728682594633836
NQ/GLOBEX/B0/1h,13058,True,-0.15307250772444778,2.186768798907969e-14,-0.9339366664567477,0.005653776400274856,-2.908933717148782,-0.0002754552293971819,0.44512449891237366,6.960115817034959,2.716759858737591
NQ/GLOBEX/B0/1h,14444,True,-0.15579115665732338,2.196450543779746e-14,-0.9311956806152999,0.005669401095957885,-2.932190548560643,-0.00027531076182444686,0.44999850661227586,7.041183863578604,2.7304431735606993
NQ/GLOBEX/B0/1h,15830,True,-0.16278654476436188,2.1672081416869962e-14,-0.9284853587480693,0.005654589413050996,-2.9585706719400253,-0.0002762660336982002,0.44999697318829257,7.172515948373173,2.7469895517177725
NQ/GLOBEX/B0/1h,17216,True,-0.16624240727104045,2.189922542429433e-14,-0.9260327911200199,0.005583033822462771,-2.980487881588237,-0.00027922050639076135,0.4499975400773234,7.251977577894254,2.7600295118865725
NQ/GLOBEX/B0/1h,18602,True,-0.17121635575450714,2.147125104643518e-14,-0.9275931910600788,0.005746086352045925,-2.9693103837712567,-0.00028634590389134407,0.4480773881263558,7.229703462708441,2.7543120941302286
NQ/GLOBEX/B0/1h,19988,True,-0.17258073884280903,2.1238542329356872e-14,-0.9267424870987819,0.005860546483594539,-2.9767630820582474,-0.0002921945070773432,0.4499997566437428,7.259538983538475,2.758692822170517
NQ/GLOBEX/B0/1h,21374,True,-0.17786116714196287,2.0853943974383595e-14,-0.9268597508363573,0.00602608336745916,-2.974412108375917,-0.0003030524316896291,0.448223348253135,7.239741766895867,2.7568628656539675
NQ/GLOBEX/B0/1h,22760,True,-0.1480431549564225,2.3029312248455057e-14,-0.9163164711476635,0.006081658414233103,-3.0561048773478383,-0.000313950655536566,0.44999976019188526,7.456253764014924,2.800359236668557
