root,geom,group,n_days,intercept_EIV,omega2_N1,omega2_N2,NSR_N1,NSR_N2,signature_R2,mean_rv_coarsest,mean_rv_finest
ES,GLOBEX,terc2,633,5.441332029918532e-05,3.6946666943900745e-09,2.319845138777889e-08,6.790004127804329e-05,0.0004263377287073257,0.8642909908957036,5.2262225979627794e-05,6.402772583026974e-05
ES,GLOBEX,terc3,634,0.0002893525287950103,4.587891199420921e-09,1.0912938464355532e-07,1.585571489050707e-05,0.0003771502709792014,0.8433189824918285,0.00028922552132147557,0.0003011971016162127
ES,RTH,all,1901,7.038187425831277e-05,6.343065749071181e-09,9.536462057494003e-08,9.012356968203363e-05,0.0013549599464336027,0.6521183694409434,6.907053223890464e-05,7.438440404845322e-05
ES,RTH,y2016,239,4.2547249627001386e-05,6.62894391597224e-09,6.111250240103744e-08,0.0001558019372365111,0.001436344368597075,0.9868853102901373,4.291121988206741e-05,4.76677518728092e-05
ES,RTH,y2017,237,1.185015526108417e-05,4.50633166105611e-09,1.9669446961474307e-08,0.000380276170376845,0.0016598471942446727,0.9907045949740817,1.208558155870851e-05,1.534216862994996e-05
ES,RTH,y2018,236,7.487406702938126e-05,5.913174086272744e-09,1.0179107978078539e-07,7.897492844822174e-05,0.0013594971372510277,0.6975701088685804,7.577613039217376e-05,7.93970422290126e-05
ES,RTH,y2019,237,3.424850605170221e-05,5.206648115521209e-09,4.8528500499414844e-08,0.0001520255542726784,0.0014169523314726568,0.8514211637960295,3.4092647210462386e-05,3.785223038954358e-05
ES,RTH,y2020,239,0.00017194231408797022,2.6986671095059606e-08,2.396608181756015e-07,0.00015695188958113308,0.001393844321840316,0.4300866342154165,0.00015984403361934713,0.00018693543817696915
ES,RTH,y2021,239,4.2941158470961594e-05,2.8084137477491196e-10,5.528263853249712e-08,6.540144345775565e-06,0.00128740445067129,0.047184172231554244,4.2362301060009284e-05,4.3120458055347755e-05
ES,RTH,y2022,238,0.00013692395390344457,-1.691617128511408e-11,1.7458950938226705e-07,-1.235442798930781e-07,0.001275083755654495,9.860164801533955e-06,0.00013830741903205805,0.0001361798173181683
ES,RTH,y2023,236,4.697642704885756e-05,1.1163375853100906e-09,6.124092320509261e-08,2.3763782293384087e-05,0.001303652215639971,0.38941113387479565,4.650598951483517e-05,4.776792009997224e-05
ES,RTH,terc1,634,1.05891305323057e-05,6.73962254558305e-09,1.9530029744935503e-08,0.0006364660937006648,0.0018443468692120272,0.7713368425615967,9.126337978182356e-06,1.5233423201049692e-05
ES,RTH,terc2,633,3.283940014804571e-05,7.114460037796557e-09,4.81699541485715e-08,0.0002166440314294213,0.0014668341666234156,0.6994983150008811,3.0940550849444806e-05,3.757256423588577e-05
ES,RTH,terc3,634,0.0001676578768357379,5.176331374068515e-09,2.1831943829436302e-07,3.0874370305547906e-05,0.0013021722713825166,0.34628453153195227,0.00016708456596260498,0.00017028916186960315
NQ,GLOBEX,all,1901,0.00018373859103751022,2.117078898016804e-09,6.84866158358277e-08,1.1522233223093577e-05,0.0003727394198959878,0.6750186243684044,0.00018173552720573017,0.00018902305970688445
NQ,GLOBEX,y2016,239,0.00011665024941209531,7.954749221622574e-10,4.3178157028939633e-08,6.819316085232267e-06,0.00037015057615867,0.24875339444172495,0.00011726011966953116,0.0001191717133998734
NQ,GLOBEX,y2017,237,3.664985088541337e-05,7.196871209738491e-10,1.4038198637614387e-08,1.963683626500877e-05,0.0003830356276620374,0.8771319852394135,3.678960503552407e-05,3.874542823981571e-05
NQ,GLOBEX,y2018,236,0.00018793314513531885,3.207584153026757e-09,7.126894099562031e-08,1.7067687292293103e-05,0.0003792249682423184,0.8150420467521824,0.00018733187221604545,0.00019670227714791206
NQ,GLOBEX,y2019,237,0.00010017885239100973,1.1772753091866257e-10,3.6644098011608446e-08,1.1751734833132076e-06,0.0003657867617467034,0.002808085032450225,0.00010432998113328727,0.00010113771051203932
NQ,GLOBEX,y2020,239,0.00038887612627711715,1.2094272729629836e-08,1.512845807120526e-07,3.110057911092061e-05,0.0003890302605108899,0.4885093002666083,0.0003690588500706572,0.00041754544276526517
NQ,GLOBEX,y2021,239,0.00013073721811397387,4.288113565200868e-10,4.759128866669994e-08,3.279948607643298e-06,0.00036402249759675084,0.059418795136553015,0.0001284006596369743,0.00013135195672009183
NQ,GLOBEX,y2022,238,0.0003810440703929997,-1.3651682934839784e-09,1.3678158340617195e-07,-3.5827044679529504e-06,0.0003589652589662364,0.10422725725686366,0.00038388731218591646,0.0003775171702010346
NQ,GLOBEX,y2023,236,0.0001260633430566268,8.935775566936516e-10,4.6427767631224125e-08,7.088321910456259e-06,0.000368289198949524,0.5135339500047156,0.0001251711937784238,0.0001281406386621786
NQ,GLOBEX,terc1,634,3.6011061490140255e-05,3.550577368141836e-09,1.617416444204887e-08,9.859685388929665e-05,0.0004491443398989313,0.5441524008602872,3.0839914624078427e-05,4.4640693860054875e-05
